Subject Name, Motion, Condition, Action, Unix Time
sub04_1,badminton,Arms,start,1730448088.038100
sub04_1,badminton,Arms,end,1730448092.534130
sub04_1,badminton,Arms,start,1730448104.368270
sub04_1,badminton,Arms,start,1730448130.600710
sub04_1,badminton,Arms,end,1730448135.134240
sub04_1,badminton,Arms,start,1730448144.235220
sub04_1,badminton,Arms,end,1730448148.732430
sub04_1,badminton,Arms,start,1730448155.831860
sub04_1,badminton,Arms,end,1730448160.341360
sub04_1,badminton,Arms,start,1730448169.121830
sub04_1,badminton,Arms,end,1730448173.616710
sub04_1,badminton,Full Body,start,1730448198.553320
sub04_1,badminton,Full Body,end,1730448203.059840
sub04_1,badminton,Full Body,start,1730448219.852500
sub04_1,badminton,Full Body,end,1730448224.362790
sub04_1,badminton,Full Body,start,1730448249.892440
sub04_1,badminton,Full Body,end,1730448254.403370
sub04_1,badminton,Full Body,start,1730448263.391080
sub04_1,badminton,Full Body,end,1730448267.916100
sub04_1,badminton,Full Body,start,1730448274.849010
sub04_1,badminton,Full Body,end,1730448279.373590
sub04_1,badminton,Arms and Legs,start,1730448302.526900
sub04_1,badminton,Arms and Legs,end,1730448307.049010
sub04_1,badminton,Arms and Legs,start,1730448327.162020
sub04_1,badminton,Arms and Legs,end,1730448331.671680
sub04_1,badminton,Arms and Legs,start,1730448340.077980
sub04_1,badminton,Arms and Legs,end,1730448344.585970
sub04_1,badminton,Arms and Legs,start,1730448351.257790
sub04_1,badminton,Arms and Legs,end,1730448355.755650
sub04_1,badminton,Arms and Legs,start,1730448363.659380
sub04_1,badminton,Arms and Legs,end,1730448368.171100
