Subject Name,Motion,Condition,Action,Unix Time
sub05,taichi,1PP,start,1731905847.008700
sub05,taichi,1PP,end,1731905855.113990
sub05,taichi,1PP,start,1731905865.482950
sub05,taichi,1PP,end,1731905873.657130
sub05,taichi,1PP,start,1731905886.115540
sub05,taichi,1PP,end,1731905894.262250
sub05,taichi,3PP,start,1731905946.884920
sub05,taichi,3PP,end,1731905955.153640
sub05,taichi,3PP,start,1731905970.384530
sub05,taichi,3PP,end,1731905978.542440
sub05,taichi,3PP,start,1731905987.454740
sub05,taichi,3PP,end,1731905995.654480
sub05,taichi,Mirror,start,1731906069.259660
sub05,taichi,Mirror,end,1731906077.487530
sub05,taichi,Mirror,start,1731906086.830110
sub05,taichi,Mirror,end,1731906095.072840
sub05,taichi,Mirror,start,1731906103.439600
sub05,taichi,Mirror,end,1731906111.695530
sub05,taichi,Multi View,start,1731906154.184240
sub05,taichi,Multi View,end,1731906162.382980
sub05,taichi,Multi View,start,1731906174.663830
sub05,taichi,Multi View,end,1731906182.960250
sub05,taichi,Multi View,start,1731906191.499710
sub05,taichi,Multi View,end,1731906199.889790
